TrailID,TraceNameID,TraceName
58917,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
58917,28,AutomationCalculator.ProcessHistory.AutoApproval.WorstCaisStatus
58917,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
58917,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
58917,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
58951,27,AutomationCalculator.ProcessHistory.AutoApproval.TodayLoans
58951,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
58951,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
58951,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
58951,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
58953,27,AutomationCalculator.ProcessHistory.AutoApproval.TodayLoans
58953,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
58953,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
58953,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
58953,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
58965,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
58965,50,AutomationCalculator.ProcessHistory.Common.FraudSuspect
58965,15,AutomationCalculator.ProcessHistory.AutoApproval.IsBrokerCustomer
58965,27,AutomationCalculator.ProcessHistory.AutoApproval.TodayLoans
58965,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
58965,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
58965,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
58965,5,AutomationCalculator.ProcessHistory.AutoApproval.Complete
58995,14,AutomationCalculator.ProcessHistory.AutoApproval.InitialAssignment
58995,50,AutomationCalculator.ProcessHistory.Common.FraudSuspect
58995,27,AutomationCalculator.ProcessHistory.AutoApproval.TodayLoans
58995,2,AutomationCalculator.ProcessHistory.AutoApproval.AmlCheck
58995,64,AutomationCalculator.ProcessHistory.AutoApproval.ThreeMonthsTurnover
58995,24,AutomationCalculator.ProcessHistory.AutoApproval.ReduceOutstandingPrincipal
58995,3,AutomationCalculator.ProcessHistory.AutoApproval.AmountOutOfRangle
